순번,해수욕장,nx,ny,경도,위도,위치
164,몰운대(부산 국가지질공원),96,73,128.966751,35.057079,부산
165,감지해변,98,73,129.078598,35.053623,부산
166,안악해수욕장,50,74,126.392288,35.147102,부산
167,손죽 해수욕장,68,55,127.36,34.29,전라남도
168,신흥 해수욕장,59,53,126.907841666667,34.1836888888889,전라남도
169,나사해변(나사리해수욕장),102,80,129.318481,35.366867,울산
170,모래미 해변,50,79,126.393661,35.376293,전라남도
171,솔개해수욕장,103,80,129.374649,35.364952,울산
172,강문 해수욕장,93,133,128.917983333333,37.7969527777778,강원도
173,송정 해수욕장,93,132,128.938075,37.7802694444444,강원도
174,안목 해수욕장,94,132,128.94735,37.773225,강원도
175,남항진 해수욕장,94,132,128.954755555556,37.7645694444444,강원도
176,경포 해수욕장,93,133,128.909830555556,37.8043333333333,강원도
177,사근진 해수욕장,93,133,128.900280555556,37.8115416666667,강원도
178,순긋 해수욕장,92,133,128.893183333333,37.8177972222222,강원도
179,주문진 해수욕장,91,135,128.819638888889,37.9112305555556,강원도
180,주전몽돌해변,104,85,129.442917,35.592129,울산
181,안인 해수욕장,94,131,128.990680555556,37.7348527777778,강원도
182,정동진 해수욕장,95,130,129.0352866,37.69155017,강원도
183,등명 해수욕장,95,130,129.018416666667,37.703975,강원도
184,도직 해수욕장,96,128,129.0769156,37.60299292,강원도
185,옥계 해수욕장,95,129,129.044277,37.6391282,강원도
186,금진 해수욕장,95,129,129.0497078,37.62734106,강원도
187,하평해변,92,133,128.8802,37.82814,강원도
188,사천 해수욕장,92,134,128.87,37.85,강원도
189,영진 해수욕장,92,134,128.8457533,37.86900183,강원도
190,연곡 해수욕장,92,134,128.8537136,37.85925583,강원도
191,상록해수욕장,52,84,126.507919,35.605122,전라북도
192,강동몽돌해변,104,86,129.445343,35.637974,울산
193,신명·정자해변,104,86,129.445343,35.637974,울산
194,나아해변,104,88,129.450211,35.729679,울산
195,추암 해수욕장,97,126,129.160425,37.4766805555556,강원도
196,어달 해수욕장,97,128,129.118708333333,37.5680361111111,강원도
197,대진 해수욕장,96,128,129.105813888889,37.5844833333333,강원도
198,망상 해수욕장,96,128,129.090891666667,37.5942388888889,강원도
199,노봉 해수욕장,96,128,129.102186111111,37.5873416666667,강원도
200,등대 해수욕장,87,141,128.595447222222,38.2170222222222,강원도
201,속초 해수욕장,87,141,128.605588888889,38.1882805555556,강원도
202,외옹치 해수욕장,87,141,128.609155555556,38.1834,강원도
203,삼척 해수욕장,98,126,129.168963888889,37.4690444444444,강원도
204,작은후진 해수욕장,98,125,129.175883333333,37.4640305555556,강원도
205,증산 해수욕장,97,126,129.162066666667,37.4746166666667,강원도
206,오분해변,98,125,129.1922,37.4262416666667,강원도
207,옥돌해수욕장,50,88,126.396164,35.789223,전라북도
208,몽돌해수욕장/몽돌해변,50,89,126.396446,35.835133,전라북도
209,신창 간이 해수욕장,105,92,129.516632,35.911160,경상북도
210,흥환간이해수욕장,105,94,129.521606,36.002930,경상북도
211,송도해변(포항),102,95,129.353790,36.054741,경상북도
212,상맹방 해수욕장,98,124,129.211341666667,37.4036777777778,강원도
213,하맹방 해수욕장,99,124,129.226002777778,37.3945,강원도
214,맹방 해수욕장,99,124,129.233091666667,37.3899861111111,강원도
215,덕산 해수욕장,99,124,129.241466666667,37.386225,강원도
216,부남해변,99,123,129.251561111111,37.3618777777778,강원도
217,궁촌 해수욕장,99,122,129.268625,37.3244083333333,강원도
218,원평 해수욕장,99,122,129.274336111111,37.3193583333333,강원도
219,문암 해수욕장,100,122,129.289144444444,37.3097333333333,강원도
220,용화 해수욕장,100,122,129.304861111111,37.2900722222222,강원도
221,장호 해수욕장,100,122,129.314547222222,37.2858555555556,강원도
222,거진1리 해수욕장,85,146,128.4653985,38.4478949,강원도
223,거진11리 해수욕장,85,146,128.455166666667,38.4420388888889,강원도
224,대진1리 해수욕장,84,147,128.4249022,38.50411751,강원도
225,대진5리 해수욕장,84,147,128.4294011,38.49626185,강원도
226,화진포 해수욕장,84,147,128.43894,38.47803,강원도
227,초도리 해수욕장,84,147,128.42829,38.49439,강원도
228,반암리 해수욕장,85,146,128.463877777778,38.4226833333333,강원도
229,마차진 해수욕장,84,148,128.419894444444,38.5109305555556,강원도
230,명파 해수욕장,84,148,128.405597222222,38.5435027777778,강원도
231,송지호 해수욕장,86,144,128.527886111111,38.3299333333333,강원도
232,봉수대 해수욕장,86,144,128.528319444444,38.3209055555556,강원도
233,가진리 해수욕장,86,145,128.509752777778,38.3727638888889,강원도
234,공현1리 해수욕장,86,144,128.5085337,38.35858298,강원도
235,공현2리 해수욕장,86,144,128.5112024,38.35047742,강원도
236,삼포 해수욕장,86,144,128.5350551,38.3153605,강원도
237,삼포2리 해수욕장,86,144,128.5316005,38.31854047,강원도
238,백도 해수욕장,86,143,128.546319444444,38.3012555555555,강원도
239,문암2리해변,86,143,128.54939,38.29676,강원도
240,자작도 해수욕장,86,143,128.5476381,38.29735916,강원도
241,천진 해수욕장,87,142,128.560391666667,38.2576416666667,강원도
242,청간 해수욕장,87,143,128.556636111111,38.2681888888889,강원도
243,아야진 해수욕장,86,143,128.553413888889,38.2759388888889,강원도
244,교암리 해수욕장,86,143,128.547063888889,38.2909138888889,강원도
245,봉포 해수욕장,87,142,128.563791666667,38.2540361111111,강원도
246,동호 해수욕장,89,138,128.684019444444,38.0575694444444,강원도
247,오산 해수욕장,88,139,128.664119444444,38.0911583333333,강원도
248,잔교리 해수욕장,90,137,128.743733333333,37.9929861111111,강원도
249,하조대 해수욕장,90,137,128.726261111111,38.0230166666667,강원도
250,죽도 해수욕장,90,136,128.760072222222,37.9744388888889,강원도
251,갯마을 해수욕장,90,136,128.778519444444,37.9498277777778,강원도
252,인구 해수욕장,90,136,128.763908333333,37.9689444444444,강원도
253,동산 해수욕장,90,136,128.758847222222,37.9816416666667,강원도
254,동산포구 해수욕장,90,136,128.758477777778,37.9816833333333,강원도
